player_id,canonical_key,full_name,position,nfl_team,bdge_rank,bdge_tier,flock_rank,flock_tier,sleeper_adp,yahoo_adp,consensus_adp,hq_grade,expert_agreement
191,arizona-cardinals-d-st-dst,Arizona Cardinals D/ST,DST,ARI,,,,,,,,,
190,atlanta-falcons-d-st-dst,Atlanta Falcons D/ST,DST,ATL,,,,,,,,,
180,baltimore-ravens-d-st-dst,Baltimore Ravens D/ST,DST,BAL,,,,,,,,,
181,buffalo-bills-d-st-dst,Buffalo Bills D/ST,DST,BUF,,,,,,,,,
198,carolina-panthers-d-st-dst,Carolina Panthers D/ST,DST,CAR,,,,,,,,,
193,chicago-bears-d-st-dst,Chicago Bears D/ST,DST,CHI,,,,,,,,,
195,cincinnati-bengals-d-st-dst,Cincinnati Bengals D/ST,DST,CIN,,,,,,,,,
179,cleveland-browns-d-st-dst,Cleveland Browns D/ST,DST,CLE,,,,,,,,,
187,dallas-cowboys-d-st-dst,Dallas Cowboys D/ST,DST,DAL,,,,,,,,,
170,denver-broncos-d-st-dst,Denver Broncos D/ST,DST,DEN,,,,,,,,,
183,detroit-lions-d-st-dst,Detroit Lions D/ST,DST,DET,,,,,,,,,
185,green-bay-packers-d-st-dst,Green Bay Packers D/ST,DST,GB,,,,,,,,,
169,houston-texans-d-st-dst,Houston Texans D/ST,DST,HOU,,,,,,,,,
189,indianapolis-colts-d-st-dst,Indianapolis Colts D/ST,DST,IND,,,,,,,,,
177,jacksonville-jaguars-d-st-dst,Jacksonville Jaguars D/ST,DST,JAX,,,,,,,,,
182,kansas-city-chiefs-d-st-dst,Kansas City Chiefs D/ST,DST,KC,,,,,,,,,
200,las-vegas-raiders-d-st-dst,Las Vegas Raiders D/ST,DST,LV,,,,,,,,,
178,los-angeles-chargers-d-st-dst,Los Angeles Chargers D/ST,DST,LAC,,,,,,,,,
172,los-angeles-rams-d-st-dst,Los Angeles Rams D/ST,DST,LAR,,,,,,,,,
194,miami-dolphins-d-st-dst,Miami Dolphins D/ST,DST,MIA,,,,,,,,,
175,minnesota-vikings-d-st-dst,Minnesota Vikings D/ST,DST,MIN,,,,,,,,,
174,new-england-patriots-d-st-dst,New England Patriots D/ST,DST,NE,,,,,,,,,
196,new-orleans-saints-d-st-dst,New Orleans Saints D/ST,DST,NO,,,,,,,,,
199,new-york-giants-d-st-dst,New York Giants D/ST,DST,NYG,,,,,,,,,
188,new-york-jets-d-st-dst,New York Jets D/ST,DST,NYJ,,,,,,,,,
173,philadelphia-eagles-d-st-dst,Philadelphia Eagles D/ST,DST,PHI,,,,,,,,,
176,pittsburgh-steelers-d-st-dst,Pittsburgh Steelers D/ST,DST,PIT,,,,,,,,,
184,san-francisco-49ers-d-st-dst,San Francisco 49ers D/ST,DST,SF,,,,,,,,,
171,seattle-seahawks-d-st-dst,Seattle Seahawks D/ST,DST,SEA,,,,,,,,,
